"Church Name","District Name",Mainkey,"Church Code","Church Mail To","Report Status",Validate,Year,STMCMAForeign,STMCMADomestic,STMCMAContributions,STMEvent,AllianceWorkersSupported,partnerships,AMEngagePresenter,PeopleCMAForeign19to30,PeopleCMAForeignAges12to18,INTLCMATripAmount,PeopleCMADOM19to30,PEOPLECMADOMAGE12TO18,PeopleNONCMADOM1218,PeopleNonCMADom1920,STMNonCMADomestic,STMNonCMADomesticTrips,PeopleNONCMAFOREIGN1218,PeopleNONCMAFOREIGN1930,STMNonCMAForeign,AMTNONCMAINTL
"Faith Alliance Church of Winthrop","Alliance New England",303858,21-23-450,pastormurph@msn.com,"Not Started",N,2021,0,0,0,Y,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Faith Alliance Church of Winthrop","Alliance New England",303858,21-23-450,pastormurph@msn.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,788,0,0,0,0,0,0,0,0,0,785
"Maple Ridge Church C&MA","Alliance New England",303895,21-25-037,info@mapleridge.net,"Not Started",N,2021,0,0,0,N,2,"aXcess Africa Senegal - Desert Springs Team St Lou",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Maple Ridge Church C&MA","Alliance New England",303895,21-25-037,info@mapleridge.net,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",2,"aXcess Africa Senegal - Desert Springs Team St Lou","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"Faith Alliance Church","Alliance New England",303901,21-25-050,secretary@faithall.org,"Not Started",N,2021,0,7,0,Y,2,"CAMA Balkans Field, Senegal Field, Envision International Envision Guinea Conakry Tea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Faith Alliance Church","Alliance New England",303901,21-25-050,secretary@faithall.org,Completed,Y,2022,0,0,0,"No - we did not hold an event",3,"CAMA Balkans Field, Senegal Field, Envision International Envision Guinea Conakry Tea",Others,1,0,0,0,0,0,0,0,0,0,0,1,0
"Greater Boston Chinese Alliance Church","Alliance New England",303910,21-25-080,gbcac.church@gmail.com,"Not Started",N,2021,0,0,0,N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Greater Boston Chinese Alliance Church","Alliance New England",303910,21-25-080,gbcac.church@gmail.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"River of Life Church of C&MA","Alliance New England",303912,21-25-100,info@rolcboston.org,"Not Started",N,2021,0,0,0,N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"River of Life Church of C&MA","Alliance New England",303912,21-25-100,info@rolcboston.org,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Community Alliance Church","Alliance New England",303931,21-25-251,main@baycommunity.org,"Not Started",N,2021,0,0,0,Y,0,"CAMA Cambodia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Bay Community Alliance Church","Alliance New England",303931,21-25-251,main@baycommunity.org,Completed,Y,2022,0,0,0,"Yes - we had a virtual event",3,"CAMA Cambodia",NULL,0,0,0,0,0,0,0,1,933,0,0,0,0
"Church of Emmanuel","Alliance New England",303935,21-25-300,office@coealliance.org,"Not Started",N,2021,0,0,2500,Y,4,"Latin America Uruguay",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Church of Emmanuel","Alliance New England",303935,21-25-300,office@coealliance.org,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",1,"Latin America Uruguay","Active International Worker",0,0,0,0,0,0,0,0,11712,0,0,0,124
"Alliance Church","Alliance New England",303942,21-25-350,church@greenfieldcma.net,"Not Started",N,2021,0,2,0,Y,1,"Africa Senegal - Desert Springs Team",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Alliance Church","Alliance New England",303942,21-25-350,church@greenfieldcma.net,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",1,"Africa Senegal - Desert Springs Team","District Office Staff",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Cod Bible Alliance Church","Alliance New England",303957,21-25-500,ccbac@comcast.org,"Not Started",N,2021,1,5,6224,Y,5,"Cambodia Field, cuba, germany, Gabon, Jordan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Cape Cod Bible Alliance Church","Alliance New England",303957,21-25-500,ccbac@comcast.org,Completed,Y,2022,7,0,0,"Yes - we had an in-person event",5,"Cambodia Field, cuba, germany, Gabon, Jordan","Active International Worker",2,0,11265,0,0,0,0,0,0,0,0,0,0
"South Shore Community Church C&MA","Alliance New England",303965,21-25-560,office@ssccma.com,"Not Started",N,2021,0,0,2000,N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"South Shore Community Church C&MA","Alliance New England",303965,21-25-560,office@ssccma.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,0,0,0,0,0,0,5054,0,0,0,0
"Christ the Rock Fellowship of the C&MA","Alliance New England",303982,21-25-700,ctrf.cma@gmail.com,"Not Started",N,2021,0,0,0,Y,0,"Asia/Pacific Cambodia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Christ the Rock Fellowship of the C&MA","Alliance New England",303982,21-25-700,ctrf.cma@gmail.com,Completed,Y,2022,0,0,0,"Yes - we used Alliance Missions video",0,"Asia/Pacific Cambodia",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Journey Church","Alliance New England",304036,21-33-050,conwayjourney@gmail.com,"Not Started",N,2021,0,0,0,Y,2,"CAMA Asia CAMA Cambodia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Journey Church","Alliance New England",304036,21-33-050,conwayjourney@gmail.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",4,"CAMA Asia CAMA Cambodia",NULL,0,0,0,0,0,0,0,0,0,0,0,0,7000
"LifeQuest Church of the C&MA","Alliance New England",304046,21-33-100,barry@lifequestchurchnh.org,"Not Started",N,2021,0,0,0,Y,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"LifeQuest Church of the C&MA","Alliance New England",304046,21-33-100,barry@lifequestchurchnh.org,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gateway Alliance Church","Alliance New England",304057,21-33-250,dennisjames12@yahoo.com,"Not Started",N,2021,0,0,0,Y,0,"Africa Long Beach",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Gateway Alliance Church","Alliance New England",304057,21-33-250,dennisjames12@yahoo.com,Completed,Y,2022,0,0,0,"Yes - we used Alliance Missions video",0,"Africa Long Beach",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Life Christian Church","Alliance New England",304062,21-33-350,office@newlifechristianchurch.org,"Not Started",N,2021,0,0,0,Y,0,"CAMA Asia CAMA Cambodia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"New Life Christian Church","Alliance New England",304062,21-33-350,office@newlifechristianchurch.org,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",0,"CAMA Asia CAMA Cambodia","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"International Alliance Church","Alliance New England",304094,21-44-300,internationalalliancechurch@gmail.com,"Not Started",N,2021,0,6,0,Y,2,"Korea Field",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"International Alliance Church","Alliance New England",304094,21-44-300,internationalalliancechurch@gmail.com,Completed,Y,2022,0,0,0,"Yes - we used Alliance Missions video",2,"Korea Field",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Missionary Alliance Church","Alliance New England",304107,21-50-050,macbenningtonvt@gmail.com,"Not Started",N,2021,0,0,0,N,5,"aXcess Africa Senegal - Dakar Church Planting Team, aXcess Africa Senegal - Desert Springs Team St Lou",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Missionary Alliance Church","Alliance New England",304107,21-50-050,macbenningtonvt@gmail.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",6,"aXcess Africa Senegal - Dakar Church Planting Team, aXcess Africa Senegal - Desert Springs Team St Lou",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Mountain Chapel C&MA","Alliance New England",304111,21-50-100,gmcbratt@gmail.com,"Not Started",N,2021,0,0,0,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Green Mountain Chapel C&MA","Alliance New England",304111,21-50-100,gmcbratt@gmail.com,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",1,NULL,"Active International Worker",0,0,0,0,0,0,0,0,400,0,0,0,5192
"North Avenue Alliance Church","Alliance New England",304117,21-50-150,admin@northave.org,"Not Started",N,2021,0,0,0,Y,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"North Avenue Alliance Church","Alliance New England",304117,21-50-150,admin@northave.org,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Essex Alliance Church","Alliance New England",304131,21-50-300,church@essexalliance.org,"Not Started",N,2021,0,0,0,Y,0,"New England",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,10,NULL
"Essex Alliance Church","Alliance New England",304131,21-50-300,church@essexalliance.org,Completed,Y,2022,3,0,0,"Yes - we had an in-person event",1,"New England",Others,0,0,0,0,0,0,0,25,0,0,0,10,0
"Community Alliance Church","Alliance New England",304137,21-50-350,smansfield@hinesburgcma.org,"Not Started",N,2021,0,0,0,Y,2,"Market Place Ministries",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Community Alliance Church","Alliance New England",304137,21-50-350,smansfield@hinesburgcma.org,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",2,"Market Place Ministries","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"Christ Community Alliance Church","Alliance New England",304141,21-50-400,forlow@gmail.com,"Not Started",N,2021,0,8,0,Y,1,"Tea House, aXcess Europe Green Mountains",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Christ Community Alliance Church","Alliance New England",304141,21-50-400,forlow@gmail.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",1,"Tea House, aXcess Europe Green Mountains",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alliance Community Fellowship","Alliance New England",304149,21-50-451,office@acfrutland.org,"Not Started",N,2021,0,0,0,Y,1,"aXcess Europe Green Mountains",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Alliance Community Fellowship","Alliance New England",304149,21-50-451,office@acfrutland.org,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",1,"aXcess Europe Green Mountains","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Mountain Community C&MA Church","Alliance New England",304157,21-50-500,pastor_gmcac@comcast.net,"Not Started",N,2021,0,0,0,Y,0,"Europe Green Mountains",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Green Mountain Community C&MA Church","Alliance New England",304157,21-50-500,pastor_gmcac@comcast.net,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",2,"Europe Green Mountains","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodian Evangelical Church","Alliance New England",311819,21-25-320,NULL,"Not Started",N,2021,0,0,0,N,0,"Gabon Field",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,NULL,NULL,NULL,200,NULL
"Cambodian Evangelical Church","Alliance New England",311819,21-25-320,NULL,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,"Gabon Field",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerusalem Cambodian Evangelical Church","Alliance New England",311823,21-25-370,NULL,"Not Started",N,2021,0,0,0,N,0,"Dave and Marene Zimmerman, Cairo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Jerusalem Cambodian Evangelical Church","Alliance New England",311823,21-25-370,NULL,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,"Dave and Marene Zimmerman, Cairo",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norwich Chinese Christian Church of the C&MA","Alliance New England",325071,21-09-255,lukezhu118@gmail.com,"Not Started",N,2021,0,0,0,Y,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL
"Norwich Chinese Christian Church of the C&MA","Alliance New England",325071,21-09-255,lukezhu118@gmail.com,Completed,Y,2022,0,0,0,"Yes - we had a virtual event",0,NULL,NULL,0,0,0,0,0,0,1,2,10,0,0,10,18
"Alliance Community Church","Alliance New England",325761,21-25-580,alliancechurch@live.com,"Not Started",N,2021,0,0,0,N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Alliance Community Church","Alliance New England",325761,21-25-580,alliancechurch@live.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Love ALLiance","Alliance New England",747383,21-25-008,louisblemieux@gmail.com,"Not Started",N,2021,0,0,0,N,0,"Germany Field",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Love ALLiance","Alliance New England",747383,21-25-008,louisblemieux@gmail.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,"Germany Field",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Open Heaven Community Church","Alliance New England",778292,21-25-015,sogny118@gmail.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,0,0,0,8,2,1,11,0,0,0,0
