"Church Name","District Name",Mainkey,"Church Code","Church Mail To","Report Status",Validate,Year,PreviousYearMembers,MembersRemoved,MembersAdded,MembersTotal,AdherentsTotal,InclusiveTotal,MorningAttendance,Language,DigitalService,SmallGroupAttendance,YouthGroupAttendance,ChildrenAttendance,Ethnicity,OnlAtt,YoungAdultAttendance,Conversions0to11,Conversions12to18,Conversions19to30,ConversionsOver30,ConversionsTotal,BaptismsTotal,IncomeLocal,FamilySupportLocal,FamilySupportGCM,ChurchDebt,STMCMAForeign,STMCMADomestic,STMCMAContributions,STMEvent,AllianceWorkersSupported,partnerships,AMEngagePresenter,PeopleCMAForeign19to30,PeopleCMAForeignAges12to18,INTLCMATripAmount,PeopleCMADOM19to30,PEOPLECMADOMAGE12TO18,PeopleNONCMADOM1218,PeopleNonCMADom1920,STMNonCMADomestic,STMNonCMADomesticTrips,PeopleNONCMAFOREIGN1218,PeopleNONCMAFOREIGN1930,STMNonCMAForeign,AMTNONCMAINTL,LeadersDeveloped,LeadersDeployed,PlantIntent,ChurchPlant,GroupPrayer,DiscipleshipPlan,LeadershipPlan,EvangelismPlan,OutreachPlan,CAProgram,BulletinCount,ChurchMultiplyFocusEvent,ChurchPlantEventContent,LocalChurchActs,ChurchPlantMultisite,YouthServeChurchEvent,YouthServeChurchEventNo,YouthServeWeekRelMin,YouthServeWeekRelMinNo,StudentLeadTeam,YouthSerLeadTeamNo,YoungAdultMinistry,VocationalMinistry1218,VocationalMinistry1930,VocationalMinistry31over,Called2ServeUse,LeadersAccreditateLicense,comment,Participants,LeadershipParticipants,EvangelismParticipants,CommunityParticipants
"Community Chapel of C&MA","Alliance New England",303752,21-09-300,pastorJim@communitychapel.org,Completed,Y,2022,53,7,0,46,49,95,56,English,Y,35,2,7,,30,8,0,0,1,2,3,3,262944,35,9,943307,0,0,0,"Yes - we had an in-person event",2,"Africa Long Beach","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,N,N,12,N,N,N,N,,40,N,,,,Y,3,Y,3,N,,Y,0,1,0,N,0,no,,,,
"Bethel Evangelical Alliance Church","Alliance New England",303761,21-09-351,piervil87@yahoo.com,"Not Started",N,2021,30,3,6,33,27,60,40,Creole,N,9,8,12,Haitian:100,0,,1,0,4,2,7,0,27759,10,200,0,0,0,150,N,0,,,,,,,,,,0,,,,0,,3,1,N,N,10,Y,Y,Y,Y,,1,,,,,,,,,,,,,,,,,,,,,
"Bethel Evangelical Alliance Church","Alliance New England",303761,21-09-351,piervil87@yahoo.com,Completed,Y,2022,35,18,3,15,20,35,24,Creole,Y,4,4,2,Haitian:100,10,2,1,0,0,2,3,0,33664,6,350,0,0,0,3200,"No - we did not hold an event",1,,,0,0,200,0,0,0,0,0,0,0,0,0,0,0,2,Y,N,8,Y,Y,Y,Y,,0,N,,,,Y,1,Y,1,Y,1,N,1,1,1,N,0,"As you can see there is a decline in the number of members within the church. Due to former preacher splitting the church declaring that he himself is a pastor. I ask that you please pray for us and our community. Thank  you!",4,2,3,0
"Bethany Alliance Church","Alliance New England",303763,21-09-400,dahennig@gmail.com,"Not Started",N,2021,30,0,0,30,12,42,38,English,N,15,0,0,Anglo:100,0,,0,0,0,0,0,0,130768,16,11,0,0,0,0,Y,0,,,,,,,,,,0,,,,0,,0,0,N,N,0,N,N,N,N,,30,,,,,,,,,,,,,,,,,,,,,
"Bethany Alliance Church","Alliance New England",303763,21-09-400,dahennig@gmail.com,Completed,Y,2022,31,1,2,32,7,39,35,English,N,19,0,0,"Anglo:90, African American:5, Filipino:5",0,6,0,0,0,0,0,0,125400,14,10,0,0,0,0,"Yes - we had an in-person event",0,,"Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,0,N,N,N,N,,30,N,,,,N,,N,,N,,N,0,0,0,N,0,none,,,,
"New River Community Church","Alliance New England",303768,21-09-450,doug@newriverchurch.org,"Not Started",N,2021,161,37,18,142,67,209,108,English,Y,170,35,18,"African:1, African American:1, Anglo:97, Hispanic:1",0,,3,9,2,5,19,19,314504,88,24,255780,0,0,0,N,2,"aXcess Asia/Pacific Thailand",,,,,,,,,0,,,,0,,0,0,N,N,10,N,N,N,N,,95,,,,,,,,,,,,,,,,,,,,,
"New River Community Church","Alliance New England",303768,21-09-450,doug@newriverchurch.org,Completed,Y,2022,140,34,43,149,48,197,158,English,Y,133,35,18,"Anglo:82, African:2, Bengali:2, Hispanic:10, Korean:1, African American:2, Portuguese:1",0,0,2,2,4,4,12,12,407128,101,32,227228,0,0,0,"No - we did not hold an event",2,"aXcess Asia/Pacific Thailand",,0,0,0,0,0,0,0,0,0,0,0,0,4427,5,0,N,N,39,Y,Y,N,N,,95,N,,,,Y,1,Y,5,N,,N,0,0,0,N,0,"No comments thank you.",120,20,,
"Crossroads Community Church","Alliance New England",303772,21-09-451,ewosterday@gmail.com,"Not Started",N,2021,47,17,8,38,0,38,25,English,Y,10,20,0,"African:8, Anglo:70, Hispanic:4, Hungarian:2, Korean:8, Portuguese:8",0,,0,0,0,0,0,1,82836,28,1,81734,0,0,0,N,0,,,,,,,,,,0,,,,0,,4,0,N,N,5,Y,Y,N,Y,,0,,,,,,,,,,,,,,,,,,,,,
"Crossroads Community Church","Alliance New England",303772,21-09-451,ewosterday@gmail.com,Completed,Y,2022,38,13,0,25,0,25,25,English,Y,0,15,0,,2,0,0,0,0,0,0,0,62688,25,0,77104,0,0,0,"No - we did not hold an event",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,N,N,5,Y,Y,Y,Y,,0,Y,"Content from Non-Alliance sources.",,,N,,N,,N,,N,0,0,0,N,0,No,2,2,2,25
"Bethel Alliance Church of C&MA","Alliance New England",303817,21-23-175,bethelcma@yahoo.com,"Not Started",N,2021,69,9,0,60,51,111,61,English,Y,12,2,8,Anglo:100,0,,0,0,0,0,0,0,208439,52,17,0,0,0,0,Y,4,"aXcess Africa Senegal - Desert Springs Team St Lou, aXcess Asia/Pacific Cambodia",,,,,,,,,0,,,,0,,0,0,N,N,6,N,N,N,N,,50,,,,,,,,,,,,,,,,,"COVID has affected us all, sadly even the Body of Christ. We are working hard to listen to God's direction for our congregation and look forward to see where and how He will lead us!",,,,
"Bethel Alliance Church of C&MA","Alliance New England",303817,21-23-175,bethelcma@yahoo.com,Completed,Y,2022,60,7,2,55,60,115,70,English,Y,26,4,10,Anglo:100,38,0,1,3,0,0,4,4,173800,51,11,0,0,0,0,"Yes - we had an in-person event",5,"aXcess Africa Senegal - Desert Springs Team St Lou, aXcess Asia/Pacific Cambodia","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,2400,2,0,N,N,6,N,N,N,N,,75,N,,,,Y,3,Y,2,N,,N,0,0,0,N,1,NO,,,,
"Bridgton Alliance Church","Alliance New England",303822,21-23-200,info@bridgtonalliancechurch.org,"Not Started",N,2021,0,0,0,0,94,94,56,English,Y,25,12,18,"Anglo:96, Pilipino :4",0,,4,0,1,0,5,4,107153,57,11,0,0,0,0,Y,1,,,,,,,,,,0,,,,0,,4,0,N,N,3,N,N,N,N,,50,,,,,,,,,,,,,,,,,"In 2021 our online audience consists of some giving units which explains why the number of weekly giving units exceeds our in person attendance.",,,,
"Bridgton Alliance Church","Alliance New England",303822,21-23-200,info@bridgtonalliancechurch.org,Completed,Y,2022,0,0,0,0,98,98,73,English,Y,24,15,5,"Filipino:3, Chinese:1, Anglo:96",10,0,4,2,2,3,11,13,113964,59,11,0,0,0,0,"No - we did not hold an event",1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,N,N,5,N,N,N,N,,50,N,,,,Y,3,Y,12,N,,N,0,0,2,Y,1,"The link and page refresh system was very difficult to navigate.",,,,
"Casco Alliance Church","Alliance New England",303828,21-23-250,cascoalliance@gmail.com,"Not Started",N,2021,19,0,0,19,20,39,30,English,Y,12,0,0,Anglo:100,0,,0,0,0,0,0,0,81297,37,10,0,0,0,0,Y,2,"CAC-4315, Asia/Pacific Cambodia, Africa Senegal - Desert Springs Team",,,,,,,,,0,,,,0,,0,0,N,N,14,N,N,N,N,,40,,,,,,,,,,,,,,,,,,,,,
"Casco Alliance Church","Alliance New England",303828,21-23-250,cascoalliance@gmail.com,Completed,Y,2022,19,0,0,19,23,42,28,English,Y,12,0,0,,0,0,0,0,0,0,0,0,65872,35,10,0,0,0,0,"Yes - we had an in-person event",2,"CAC-4315, Asia/Pacific Cambodia, Africa Senegal - Desert Springs Team","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,15,N,N,N,N,,40,N,,,,N,,N,,N,,N,0,0,0,N,0,"Not as user friendly as past years.",,,,
"Fellowship Alliance Church","Alliance New England",303837,21-23-303,kurt@sawyersmaple.com,"Not Started",N,2021,16,6,5,15,0,15,14,English,N,6,12,5,Anglo:100,0,,0,0,0,0,0,0,20992,5,4,0,0,0,0,Y,0,"Tent maker",,,,,,,,,0,,,,0,,0,0,N,N,0,N,N,N,N,,0,,,,,,,,,,,,,,,,,,,,,
"Fellowship Alliance Church","Alliance New England",303837,21-23-303,kurt@sawyersmaple.com,Completed,Y,2022,20,0,0,20,0,20,18,English,N,6,12,5,Anglo:100,0,0,0,0,0,0,0,5,22983,5,4,0,0,0,4600,"No - we did not hold an event",1,"Tent maker",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,0,N,N,N,N,,0,N,,,,N,,Y,2,N,,N,0,0,0,N,0,"We are holding the line until we get a pastor again. Hence not much going on outside of Sunday service.",,,,
"Spurr's Corner Church C&MA","Alliance New England",303844,21-23-325,spurrscornerchurch@gmail.com,"Not Started",N,2021,24,1,2,25,30,55,24,English,Y,16,0,1,Anglo:100,0,,1,0,0,0,1,1,87438,26,6,0,0,0,0,Y,5,"aXcess Asia/Pacific Cambodia, aXcess Africa Senegal - Desert Springs Team St Lou",,,,,,,,,0,,,,0,,0,0,N,N,15,Y,N,N,N,,40,,,,,,,,,,,,,,,,,"1)  I'm not sure why it is assumed that the Pastor is the Missions Coordinator and Treasurer - nothing could be less accurate - especially as it concerns Treasurer ----- unless you're just including the Pastor in emails concerning these ministries.    2)  A lot of these figures / responses don't seem to take into account the impacts of COVID ... attendance, digital, ministries.  I'm guessing that it just as difficult for you as it is for the local church to gauge specific realities, but - other than this space - there should have been opportunity / leeway in some of the answers.",,,,
"Spurr's Corner Church C&MA","Alliance New England",303844,21-23-325,spurrscornerchurch@gmail.com,Completed,Y,2022,22,4,1,19,28,47,34,English,Y,22,0,1,,9,4,0,0,1,1,2,1,91002,30,6,0,0,0,0,"Yes - we had an in-person event",5,"aXcess Asia/Pacific Cambodia, aXcess Africa Senegal - Desert Springs Team St Lou","Active International Worker",0,0,0,0,0,378,0,0,0,0,0,0,2445,4,0,N,N,10,N,N,N,Y,,40,N,,,,N,,Y,3,N,,Y,1,0,0,N,0,"THE worst Annual Report to fill out in my over 42 years of Alliance ministry - on several levels ... a total botched job with the technology, lack of appropriateness to our specific ministry, and others.

It's not ""wired"" for small town, rural church ministry - we don't fit into the boxes you offer - and yet we are joyfully worshipping our Lord, connecting with our community, discipling people, and enabling Alliance missions to move forward - at our level of ministry / in ways culturally appropriate to our congregation and community.  Yes, we need to rethink how we're doing ministry - and we are - but in the end it may not look like what you're looking for - it may end up looking more like the ""COVID Church.""  The concepts promoted are good and we need to seriously consider them, maybe replace some of what we're doing, but I feel this Report is more of a ""heaping on"" rather than simply a ""reporting of."" You asked, I answered - with a deep, deep love for the Alliance - but also some concern.",,,,6
"North Deering Alliance Church","Alliance New England",303848,21-23-350,rouddykabau@gmail.com,"Not Started",N,2021,89,10,25,104,62,166,155,French,Y,15,20,47,African:100,0,,20,5,15,20,60,0,61465,22,0,0,0,0,0,Y,0,,,,,,,,,,0,,,,0,,0,0,N,N,15,N,N,N,N,,1,,,,,,,,,,,,,,,,,"Baptisms will be held this summer.",,,,
"North Deering Alliance Church","Alliance New England",303848,21-23-350,rouddykabau@gmail.com,Completed,Y,2022,120,10,30,140,60,200,210,French,Y,50,15,40,"African:85, African American:15",350,15,5,10,10,15,40,7,69893,19,0,0,0,0,0,"Yes - we used Alliance Missions video",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,N,N,15,N,N,N,N,,0,N,,,,Y,5,Y,5,N,,Y,0,0,0,N,0,No,,,,
"Faith Alliance Church of Winthrop","Alliance New England",303858,21-23-450,pastormurph@msn.com,"Not Started",N,2021,20,2,0,18,12,30,29,English,N,9,1,1,"Native American:100",0,,0,0,0,0,0,0,11430,12,5,0,0,0,0,Y,0,,,,,,,,,,0,,,,0,,0,0,N,N,9,N,N,N,N,,15,,,,,,,,,,,,,,,,,,,,,
"Faith Alliance Church of Winthrop","Alliance New England",303858,21-23-450,pastormurph@msn.com,Completed,Y,2022,18,0,0,18,4,22,22,English,N,9,5,1,,0,1,1,0,0,0,1,0,21554,9,5,0,0,0,0,"No - we did not hold an event",0,,,0,0,788,0,0,0,0,0,0,0,0,0,785,0,0,N,N,9,N,N,N,N,,15,N,,,,N,,N,,N,,N,0,0,0,N,0,no,,,,
"Maple Ridge Church C&MA","Alliance New England",303895,21-25-037,info@mapleridge.net,"Not Started",N,2021,29,2,3,30,82,112,45,English,Y,30,0,10,"African:25, Anglo:70, Chinese:3, Jamaican:2",0,,0,0,1,1,2,1,285775,42,10,356737,0,0,0,N,2,"aXcess Africa Senegal - Desert Springs Team St Lou",,,,,,,,,0,,,,0,,1,0,N,N,14,N,N,N,N,,75,,,,,,,,,,,,,,,,,,,,,
"Maple Ridge Church C&MA","Alliance New England",303895,21-25-037,info@mapleridge.net,Completed,Y,2022,31,7,7,31,65,96,60,English,Y,26,0,32,"Anglo:94, Chinese:1, African American:2, Hispanic:2, Arabic:1",13,15,0,0,1,0,1,0,334604,40,14,330450,0,0,0,"Yes - we had an in-person event",2,"aXcess Africa Senegal - Desert Springs Team St Lou","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,N,15,N,N,N,N,,80,N,,,,Y,4,Y,4,N,,Y,0,0,0,N,0,No.,,,,
"Faith Alliance Church","Alliance New England",303901,21-25-050,secretary@faithall.org,"Not Started",N,2021,89,7,2,84,114,198,99,English,Y,37,21,14,Anglo:100,0,,0,1,0,0,1,1,300017,55,55,70000,0,7,0,Y,2,"CAMA Balkans Field, Senegal Field, Envision International Envision Guinea Conakry Tea",,,,,,,,,0,,,,0,,2,3,N,N,6,Y,Y,N,Y,,0,,,,,,,,,,,,,,,,,,,,,
"Faith Alliance Church","Alliance New England",303901,21-25-050,secretary@faithall.org,Completed,Y,2022,84,0,2,86,125,211,108,English,Y,30,18,22,,75,0,0,0,0,1,1,0,261688,70,70,61000,0,0,0,"No - we did not hold an event",3,"CAMA Balkans Field, Senegal Field, Envision International Envision Guinea Conakry Tea",Others,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,N,N,8,Y,Y,N,Y,,0,N,,,,Y,6,Y,8,N,,N,0,3,0,N,1,.,4,2,,2
"Greater Boston Chinese Alliance Church","Alliance New England",303910,21-25-080,gbcac.church@gmail.com,"Not Started",N,2021,31,2,0,29,10,39,27,Cantonese,N,12,4,1,Chinese:100,0,,0,0,0,0,0,0,76883,28,5,0,0,0,0,N,0,,,,,,,,,,0,,,,0,,0,0,N,N,12,N,N,N,N,,0,,,,,,,,,,,,,,,,,,,,,
"Greater Boston Chinese Alliance Church","Alliance New England",303910,21-25-080,gbcac.church@gmail.com,Completed,Y,2022,31,0,3,34,12,46,46,Cantonese,N,14,4,0,Chinese:100,0,8,0,1,2,3,3,3,127091,45,6,0,0,0,0,"No - we did not hold an event",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,N,N,15,Y,N,Y,Y,,0,N,,,,Y,2,N,,N,,Y,0,0,0,N,0,"This year there is no entry for Great Commission Fund?",15,,15,1
"River of Life Church of C&MA","Alliance New England",303912,21-25-100,info@rolcboston.org,"Not Started",N,2021,33,33,0,0,10,10,45,English,N,10,0,0,"African American:25, Anglo:50, Hispanic:25",0,,0,0,0,0,0,0,76540,9,1,0,0,0,0,N,0,,,,,,,,,,0,,,,0,,0,0,N,N,10,N,N,N,N,,1,,,,,,,,,,,,,,,,,"This church is in development and not meeting on a regular basis at this time.  The income reflected is from those who are tithing and from rental funds.",,,,
"River of Life Church of C&MA","Alliance New England",303912,21-25-100,info@rolcboston.org,Completed,Y,2022,0,0,0,0,0,0,0,English,N,0,0,0,,0,0,0,0,0,0,0,0,66505,6,0,0,0,0,0,"No - we did not hold an event",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,0,N,N,N,N,,0,N,,,,N,,N,,N,,N,0,0,0,N,0,"The church is in redevelopment and not meeting at this time.  The income reflected is from rental funds and donations.",,,,
"Bay Community Alliance Church","Alliance New England",303931,21-25-251,main@baycommunity.org,"Not Started",N,2021,22,3,0,19,38,57,12,English,Y,12,0,0,"African American:6, Anglo:92, Cape Verdian:2",0,,0,0,0,1,1,0,90523,45,15,0,0,0,0,Y,0,"CAMA Cambodia",,,,,,,,,0,,,,0,,0,0,Y,N,8,N,N,N,N,,40,,,,,,,,,,,,,,,,,"Since we are holding services both in person, live attendance, and online via Zoom, our website and Facebook live, actual attendance figures vary. We have tried to be conservative in reporting our attendance figures.     In addition to National Great Commission funding, we support our Alliance New England ministry through both DOB and Home Missions totaling $5,469.    We will be working with the district to develop a plan for assessment and developing a new impact strategy for 2022 and beyond. We have engaged in EquippingU: Dynamic Influence  ",,,,
"Bay Community Alliance Church","Alliance New England",303931,21-25-251,main@baycommunity.org,Completed,Y,2022,19,0,0,19,41,60,18,English,Y,12,0,0,"African American:5, Anglo:77, 3:20, Cape Verdian:3, Asian Indian:3, Native American:12",12,0,0,0,2,0,2,0,73443,47,18,0,0,0,0,"Yes - we had a virtual event",3,"CAMA Cambodia",,0,0,0,0,0,0,0,1,933,0,0,0,0,1,0,Y,Y,7,N,N,N,N,,40,Y,"We created our own content.",,"Grace Church of Cape Cod",N,,N,,N,,N,0,0,0,N,0,"Bay Community supported several outside para-church ministries in partnership with out local church and gave a total of approximately $2,500 to assist these ministries. In addition, we are working to help plant a church in our Judea and expended $2,400 to assist them. Further, we again supported our local DOB in the amount of $4,575 and donated $1,764 to New England Home Missions through Alliance new England. God has richly blessed us to be able to expand our footprint in 2022.",,,,
"Church of Emmanuel","Alliance New England",303935,21-25-300,office@coealliance.org,"Not Started",N,2021,186,15,8,179,365,544,241,English,Y,180,30,32,"African American:2, Anglo:88, Asian Indian:2, Chinese:2, Hispanic:6",0,,5,1,1,0,7,14,874794,222,70,1107631,0,0,2500,Y,4,"Latin America Uruguay",,,,,,,,,0,,,,0,,8,0,N,N,20,Y,N,N,N,,0,,,,,,,,,,,,,,,,,"There were too many choices for ethnicity. We had done an annual survey in March 2021 that collected basic race/ethnicity information from our congregation, with African American, Asian, Hispanic or Latino, Native American, White, or Other being our choices. We had a hard time breaking down the Asian number we had collected into the many choices you had for ethnicity - without asking specific questions or having direct conversations with those people in our congregation, how are we supposed to choose between all of the Asian ethnicities you had listed?",,,,
"Church of Emmanuel","Alliance New England",303935,21-25-300,office@coealliance.org,Completed,Y,2022,179,11,15,183,383,566,302,English,Y,109,35,53,"African American:2, Anglo:88, Asian Indian:2, Chinese:2, Hispanic:6",57,3,1,2,0,0,3,3,1118352,210,37,1059618,0,0,0,"Yes - we had an in-person event",1,"Latin America Uruguay","Active International Worker",0,0,0,0,0,0,0,0,11712,0,0,0,124,7,0,N,N,14,Y,N,N,N,,0,N,,,,Y,6,Y,30,Y,6,N,0,1,0,N,2,"I added two new staff members (Michael Webb & Ed Groh) to our list, but was unable to select Staff Roles even close to what they do. Michael is the Creative Arts Director who leads worship each Sunday morning and Ed is our Facilities Manager. Because I was not allowed to type in my own Staff Role or leave it blank, I ended up selecting Men's Ministry Leader for Michael and Admin Asst for Ed. Please have more options or the ability to type in our own next year.",37,,,
"Alliance Church","Alliance New England",303942,21-25-350,church@greenfieldcma.net,"Not Started",N,2021,56,1,10,65,109,174,109,English,Y,16,10,15,"African American:1, Anglo:96, Hispanic:1, Korean:1, Moldovan:1",0,,0,0,0,1,1,9,260455,89,19,0,0,2,0,Y,1,"Africa Senegal - Desert Springs Team",,,,,,,,,0,,,,0,,3,0,N,N,10,Y,Y,N,N,,100,,,,,,,,,,,,,,,,,,,,,
"Alliance Church","Alliance New England",303942,21-25-350,church@greenfieldcma.net,Completed,Y,2022,65,1,10,74,76,150,130,English,Y,20,12,20,"Anglo:96, Hispanic:1, African American:2, Korean:1",0,5,1,0,1,0,2,3,280672,77,19,0,0,0,0,"Yes - we had an in-person event",1,"Africa Senegal - Desert Springs Team","District Office Staff",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,N,N,12,Y,Y,Y,N,,100,N,,,,Y,3,Y,13,N,,N,0,0,0,N,0,"This was very difficult to fill out. It ran very slowly and I had to restart it several times.",2,2,1,
